,term_name,negative_log10_of_adjusted_p_value,metabolism_related,metabolism_confidence,cell_killing_related,cell_killing_confidence,cell_killing_override
327,natural killer cell mediated immunity,2.71886036205791,false,95,true,55,false
313,regulation of leukocyte degranulation,2.91520074463034,false,95,false,55,false
328,leukocyte degranulation,2.71886036205791,false,95,false,55,false
338,Fc-gamma receptor signaling pathway,2.46118978083823,false,95,false,55,false
402,positive regulation of apoptotic cell clearance,1.74464169954934,false,95,false,55,false
407,Fc receptor signaling pathway,1.68672411561231,false,95,false,55,false
419,regulation of apoptotic cell clearance,1.50422137686413,false,95,false,55,false
351,complement activation,2.31253480027778,false,95,true,50,false
358,"complement activation, classical pathway",2.22589497415965,false,95,true,50,false
376,positive regulation of complement activation,2.04305298957866,false,95,true,50,false
422,positive regulation of hypersensitivity,1.50422137686413,false,95,true,50,false
