Unnamed: 0,term_name,negative_log10_of_adjusted_p_value,term_id,metabolism,lipid_metabolism,mitochondrial_energy,redox_metabolism,cell_death,cell_killing,immune,transcription,translation,signaling,transport,development_structure,neuronal,best_category,confidence
119,positive regulation of cytokine production,8.52852213295921,GO:0001819,0.29493546,0.29559237,0.2486242,0.2876901,0.38188794,0.40869552,0.61120594,0.45284146,0.3050645,0.46436238,0.2111489,0.32864535,0.22314836,immune,0.14684355
120,regulation of cell killing,8.34130687379868,GO:0031341,0.4052753,0.33984333,0.29958478,0.32293272,0.773805,0.7544614,0.49242133,0.392794,0.26249784,0.4511162,0.2597691,0.44277525,0.19580615,cell_death,0.019343615
121,mononuclear cell migration,8.31067288414793,GO:0071674,0.28030732,0.20880397,0.2544785,0.18557452,0.4018218,0.32776892,0.31244904,0.19859955,0.35243714,0.26199955,0.4693765,0.44797093,0.18050332,transport,0.021405578
122,cell-cell adhesion,8.29511033664706,GO:0098609,0.1769056,0.12494562,0.09403645,0.112896025,0.42525828,0.34823376,0.37038893,0.17179811,0.19915974,0.27815676,0.43135273,0.68483543,0.3005473,development_structure,0.2534827
123,activation of innate immune response,8.28001516684778,GO:0002218,0.16220456,0.16825809,0.09082611,0.24381119,0.32093823,0.44106096,0.80176395,0.28388318,0.26001364,0.4350558,0.14194109,0.3256256,0.27814,immune,0.360703
124,B cell mediated immunity,8.27627865798721,GO:0019724,0.11552122,0.1048758,0.08639375,0.13136601,0.34016886,0.53102726,0.572641,0.15287817,0.22127247,0.27060232,0.1795316,0.22554046,0.04610039,immune,0.041613758
125,positive regulation of cell activation,8.23426618637852,GO:0050867,0.31467175,0.29064584,0.2779408,0.26482654,0.51786155,0.40716255,0.5410373,0.49272645,0.29554766,0.58685005,0.31817675,0.49623597,0.3538571,signaling,0.045812726
126,positive regulation of leukocyte migration,8.18388056421835,GO:0002687,0.19583529,0.22675744,0.19670609,0.21496575,0.32899654,0.41476035,0.5965345,0.23671554,0.19819164,0.2887607,0.41462976,0.32429564,0.18566795,immune,0.18177414
127,regulation of multicellular organismal development,8.1027985672436,GO:2000026,0.42732805,0.33394212,0.28870726,0.29200894,0.42469236,0.2249688,0.4217555,0.5295651,0.34160584,0.5795442,0.29361612,0.68752337,0.50241256,development_structure,0.10797918
128,negative regulation of cytokine production,8.07566033894503,GO:0001818,0.279491,0.25686023,0.21954602,0.26495218,0.3795313,0.39835384,0.56734574,0.4067004,0.26354757,0.410752,0.21848628,0.2985609,0.20918256,immune,0.15659374
129,mononuclear cell differentiation,8.0373627558077,GO:1903131,0.22494657,0.20328048,0.11739281,0.15031478,0.31039354,0.28477687,0.29294002,0.37202448,0.28819945,0.28403342,0.23465571,0.56192523,0.24766415,development_structure,0.18990076
130,phagocytosis,8.02881948565953,GO:0006909,0.1568004,0.24030882,0.07343314,0.18634188,0.43013343,0.4456311,0.41953957,0.025900466,0.16129158,0.261373,0.25650886,0.27015734,0.058335997,cell_killing,0.015497655
131,regulation of developmental process,8.00540125616115,GO:0050793,0.24871637,0.20590994,0.160013,0.120971434,0.2138218,0.04989036,0.17888606,0.47615308,0.23909129,0.36493573,0.15804467,0.5239123,0.5155448,development_structure,0.008367538
132,regulation of leukocyte migration,7.96042484129612,GO:0002685,0.19508705,0.2264733,0.16771017,0.19359116,0.2861017,0.3898376,0.55816245,0.22032067,0.18934053,0.2283967,0.42324805,0.32242036,0.15134153,immune,0.1349144
133,cell adhesion,7.95736741489932,GO:0007155,0.161287,0.13046357,0.07633914,0.12908031,0.38684833,0.2992094,0.35417104,0.18003717,0.20773396,0.25915,0.42271018,0.6568908,0.30583644,development_structure,0.23418063
134,cellular response to oxygen-containing compound,7.90464242661895,GO:1901701,0.4980222,0.3733266,0.43558213,0.5982678,0.3861803,0.24834532,0.3129868,0.24010885,0.20236322,0.3292237,0.31395042,0.34129268,0.25960276,redox_metabolism,0.100245595
135,positive regulation of mononuclear cell migration,7.89990538632569,GO:0071677,0.2894186,0.24890712,0.26871088,0.2307345,0.42155123,0.36918083,0.4327025,0.35331774,0.33035743,0.38930684,0.45197925,0.42304048,0.22136915,transport,0.019276738
136,antigen processing and presentation of peptide antigen via MHC class II,7.89320499682449,GO:0002495,0.09514837,0.092887536,-0.017590722,0.044182926,0.12182681,0.29171374,0.31683084,0.073072806,0.31076142,0.15722418,0.1410359,0.084279604,0.0018711662,immune,0.006069422
137,neutrophil activation,7.87537764064656,GO:0042119,0.20232552,0.244808,0.16747797,0.31007007,0.29295772,0.40964246,0.53018534,0.25570303,0.24008125,0.2579074,0.26544276,0.26295868,0.22964516,immune,0.120542884
138,microglial cell activation,7.87537764064656,GO:0001774,0.15601341,0.22220778,0.15048437,0.21507244,0.3799315,0.3393621,0.56016016,0.19037414,0.08049875,0.3844244,0.20151028,0.3168331,0.41993347,immune,0.14022669
139,apoptotic process,7.86599886078479,GO:0006915,0.2738492,0.17555358,0.19245812,0.1829218,0.43477333,0.2155094,0.07567839,0.10522961,0.24784595,0.18961048,0.21819484,0.24519646,0.15197502,cell_death,0.16092414
140,cell motility,7.80663001430792,GO:0048870,0.39505374,0.24261521,0.29830515,0.17921963,0.5065811,0.35189128,0.30364344,0.23499787,0.32723182,0.37730417,0.44535798,0.52549386,0.3154193,development_structure,0.018912733
141,regulation of interleukin-6 production,7.78687528629321,GO:0032675,0.3327495,0.29914188,0.24526459,0.3069342,0.33565372,0.3762381,0.5600724,0.3400756,0.2759995,0.30199105,0.15716743,0.25162333,0.16375689,immune,0.18383431
142,interleukin-6 production,7.78687528629321,GO:0032635,0.2828759,0.24355534,0.2053783,0.27072942,0.28502297,0.3561369,0.49318445,0.1842844,0.26342943,0.17449507,0.13285986,0.19890141,0.10759843,immune,0.13704756
143,positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,7.67099847322639,GO:0002824,0.11427931,0.13079026,0.019405518,0.090888664,0.22557765,0.33432603,0.5406374,0.2610038,0.23677,0.4010676,0.15411618,0.22180487,0.13216381,immune,0.13956976
144,endocytosis,7.66804987221577,GO:0006897,0.13582763,0.099381655,0.057070017,0.063227855,0.3050236,0.23750235,0.15250951,0.058261786,0.1940063,0.13221717,0.22234619,0.23557533,0.15689287,cell_death,0.06752126
145,negative regulation of biological process,7.62862363287484,GO:0048519,0.43635726,0.32128453,0.3109076,0.30634353,0.4160089,0.2785763,0.29083633,0.45354596,0.2952022,0.44047642,0.29124725,0.31406322,0.3403719,transcription,0.01306954
146,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,7.55567842951331,GO:0002504,0.11135639,0.10542169,0.0007853452,0.03658944,0.1381391,0.31124663,0.3262354,0.056890372,0.29030257,0.1638203,0.15796734,0.11619026,-0.008814198,immune,0.01498878
147,leukocyte activation involved in inflammatory response,7.52115879134052,GO:0002269,0.1757907,0.21212211,0.13019651,0.24258918,0.29520756,0.4959936,0.7397897,0.16782562,0.118201524,0.3009736,0.23099698,0.27022475,0.12802704,immune,0.24379611
148,myeloid leukocyte differentiation,7.51889257148235,GO:0002573,0.12471914,0.15368947,0.03838214,0.12689926,0.19643557,0.32218742,0.4240957,0.19808272,0.13029167,0.090300925,0.18517816,0.410425,0.124719486,immune,0.013670683
149,leukocyte proliferation,7.50560466174568,GO:0070661,0.151892,0.16050094,0.10175256,0.18236202,0.3203587,0.48842198,0.4902604,0.111420065,0.11444441,0.13885765,0.24904948,0.34359422,0.15598664,immune,0.0018384159
150,macrophage activation,7.44144733089009,GO:0042116,0.2972057,0.30549407,0.20664819,0.20397288,0.41638535,0.4022306,0.5444369,0.2769333,0.26713288,0.39984897,0.26961243,0.38611722,0.207753,immune,0.12805152
151,regulation of cell population proliferation,7.38594688491159,GO:0042127,0.33061892,0.27273566,0.21970412,0.22009337,0.49621248,0.38527894,0.43643612,0.39228904,0.23895672,0.41978973,0.24088241,0.50534403,0.28056762,development_structure,0.009131551
152,regulation of tumor necrosis factor production,7.37817738937427,GO:0032680,0.3024866,0.3358723,0.20208746,0.3076826,0.47128594,0.42305803,0.44321615,0.33286402,0.23199362,0.30230078,0.15253612,0.1989019,0.1135592,cell_death,0.028069794
153,tumor necrosis factor production,7.37817738937427,GO:0032640,0.22723247,0.24748173,0.15840852,0.24658453,0.41994548,0.3814446,0.32935643,0.17219673,0.19230568,0.14217685,0.09440857,0.14197288,0.055536497,cell_death,0.038500875
154,cell death,7.363885875425,GO:0008219,0.26237097,0.20345071,0.24258271,0.19137822,0.7963974,0.6000483,0.33213085,0.12228793,0.19342077,0.27582076,0.2459811,0.39781597,0.16649728,cell_death,0.19634908
155,programmed cell death,7.363885875425,GO:0012501,0.3297649,0.2126571,0.22436738,0.21665321,0.83288425,0.57376957,0.35472867,0.31764078,0.3057905,0.4134766,0.18668526,0.4342935,0.28040674,cell_death,0.25911468
156,negative regulation of cellular process,7.32604037861718,GO:0048523,0.41591442,0.299762,0.35198575,0.2587142,0.51388687,0.343583,0.3202235,0.43432516,0.27793366,0.50403416,0.40839607,0.4314577,0.36056495,cell_death,0.009852707
157,cell differentiation,7.26227266296339,GO:0030154,0.3297363,0.29791126,0.17156532,0.19291198,0.3724988,0.29426318,0.3931991,0.39268947,0.30343312,0.37629622,0.3545016,0.7196225,0.36890635,development_structure,0.3264234
158,tumor necrosis factor superfamily cytokine production,7.261539304408,GO:0071706,0.18899181,0.20753863,0.16793883,0.23116475,0.45044383,0.48151958,0.53147143,0.2089302,0.1927132,0.27239642,0.1244426,0.18489541,0.05593999,immune,0.04995185
159,regulation of tumor necrosis factor superfamily cytokine production,7.261539304408,GO:1903555,0.232272,0.2634346,0.18887416,0.263718,0.4674577,0.4815858,0.5709218,0.3143573,0.2109598,0.352452,0.1574863,0.20971793,0.08038147,immune,0.08933598
160,cellular developmental process,7.25740642533193,GO:0048869,0.33871067,0.22143862,0.2346285,0.13578592,0.39683157,0.19216387,0.2558952,0.30860102,0.30728233,0.4045375,0.32153654,0.7353696,0.57057583,development_structure,0.16479379
161,secretion,7.23230319056197,GO:0046903,0.038170673,0.04072655,0.013132349,-0.01938628,0.011137813,0.017452838,0.07255375,0.052451506,0.08568219,0.13815336,0.13373044,0.103196196,0.13728516,signaling,0.00086820126
162,immunoglobulin mediated immune response,7.21007370679244,GO:0016064,0.083645985,0.052604754,0.06864225,0.12940781,0.23062006,0.44708747,0.5717143,0.16707784,0.23893148,0.31344867,0.15062925,0.16761747,0.071734495,immune,0.124626815
163,negative regulation of response to external stimulus,7.20649952286063,GO:0032102,0.038936213,0.041207984,0.033974282,0.04527594,0.11199308,0.090457566,0.17342296,0.2197808,0.017467245,0.3241508,0.10480082,0.05208368,0.23657146,signaling,0.08757934
164,granulocyte activation,7.19803141447754,GO:0036230,0.24820825,0.19738,0.095958106,0.15360458,0.28339672,0.31558967,0.38025343,0.17981465,0.22069454,0.22436813,0.2563639,0.315314,0.2256099,immune,0.06466377
165,anatomical structure development,7.19334951635867,GO:0048856,0.051121004,0.08889651,0.08541688,0.0070700943,0.09064999,-0.05322449,0.0487424,0.11474715,0.2882926,0.18145716,0.15071778,0.5229324,0.47548562,development_structure,0.047446787
166,positive regulation of cell migration,7.19002228200341,GO:0030335,0.3267777,0.2891015,0.31959546,0.24347025,0.49024096,0.3740561,0.521232,0.35637626,0.33152747,0.476261,0.5228509,0.48685002,0.31384382,transport,0.0016188622
167,innate immune response-activating signaling pathway,7.08171345955113,GO:0002758,0.17991143,0.18346241,0.10637134,0.24502729,0.36295575,0.42930204,0.78714406,0.34911978,0.27445138,0.55066586,0.18361768,0.33929506,0.28054768,immune,0.23647821
168,establishment of localization,7.0204263581144,GO:0051234,-0.06489864,-0.068389,-0.08378204,-0.1529141,-0.07069233,-0.089814946,-0.018060748,0.02501094,0.177487,-0.02691111,0.09038259,0.09534758,0.09029755,translation,0.08213942
169,defense response to Gram-positive bacterium,6.9965266679415,GO:0050830,0.1659304,0.13416564,0.0894283,0.1421175,0.24036103,0.28326228,0.3353503,0.15342265,0.21271214,0.19636482,0.1498174,0.13009414,0.028451046,immune,0.052088022
170,regulation of leukocyte chemotaxis,6.97442678237333,GO:0002688,0.2343795,0.21948591,0.1472781,0.21430404,0.29690304,0.46611226,0.576918,0.19579384,0.07600053,0.2468296,0.27394593,0.347882,0.13007464,immune,0.11080575
171,blood vessel development,6.96265773327769,GO:0001568,0.050319046,0.14229602,0.09679061,0.102350876,0.09926212,0.04984921,0.122158006,0.12430456,0.06591526,0.11074424,0.18019105,0.33865756,0.3036511,development_structure,0.035006464
172,regulation of adaptive immune response,6.95637976086181,GO:0002819,0.16251868,0.1968644,0.12119731,0.19909647,0.26233333,0.3971005,0.7271587,0.36526507,0.18733613,0.42478117,0.14293692,0.30138436,0.19181117,immune,0.30237755
173,regulation of cell-cell adhesion,6.95198183515741,GO:0022407,0.19862896,0.1884039,0.105818704,0.15516889,0.40608007,0.32613188,0.43297577,0.32134712,0.19319396,0.36673158,0.3969317,0.66239816,0.32092786,development_structure,0.22942239
174,regulation of transport,6.93598465981186,GO:0051049,0.21873163,0.27227664,0.26048762,0.10813091,0.12122159,0.07395317,0.13752303,0.26935348,0.15279192,0.31837624,0.5328153,0.18341176,0.14992614,transport,0.21443903
175,positive regulation of leukocyte chemotaxis,6.87837421838029,GO:0002690,0.22788621,0.21981408,0.16431399,0.23169476,0.33697185,0.49692875,0.61973554,0.21703157,0.08301714,0.2942598,0.26500523,0.34432334,0.14753117,immune,0.12280679
176,neuroinflammatory response,6.80970667609577,GO:0150076,0.12212245,0.11164858,0.16834742,0.13147563,0.2606245,0.14282382,0.33282784,0.07686398,0.119911715,0.34809473,0.17235458,0.15203315,0.40291798,neuronal,0.05482325
177,positive regulation of cell motility,6.78764320179711,GO:2000147,0.33446962,0.26379442,0.3014663,0.20566033,0.48293662,0.3243596,0.3838339,0.39870155,0.32401365,0.49015146,0.38760328,0.4463653,0.33740932,signaling,0.007214844
178,antigen processing and presentation of exogenous peptide antigen via MHC class II,6.76742664931459,GO:0019886,0.09798019,0.09582543,-0.018640183,0.058579713,0.12188144,0.26507232,0.3109287,0.06376729,0.31173784,0.15325126,0.13206983,0.09165999,0.026288139,translation,0.00080913305
179,regulation of cell adhesion,6.76720214627604,GO:0030155,0.19647941,0.20391159,0.107503176,0.17585656,0.3868559,0.28682113,0.4283363,0.35635936,0.21058731,0.37643093,0.3985723,0.6527222,0.34463608,development_structure,0.22438589
180,leukocyte activation involved in immune response,6.74884283414817,GO:0002366,0.14823943,0.14694947,0.09876603,0.17899117,0.3236461,0.57932884,0.7665945,0.18331346,0.14149958,0.2968822,0.23485269,0.2941596,0.11977339,immune,0.1872657
181,positive regulation of leukocyte activation,6.7153469112506,GO:0002696,0.19962823,0.2431224,0.17331633,0.2360096,0.38646558,0.50551844,0.6532979,0.35433412,0.1762515,0.40265942,0.28111297,0.36258373,0.22398031,immune,0.14777946
182,cell activation involved in immune response,6.6992690827645,GO:0002263,0.25108197,0.1910837,0.1738308,0.23853958,0.46755317,0.58931553,0.82178795,0.2761076,0.24542254,0.48140875,0.25243932,0.4415283,0.22481456,immune,0.23247242
183,transport,6.66763423392195,GO:0006810,0.117215656,0.14750658,0.22136709,0.020848354,0.06071063,0.028272783,0.062129613,0.027971052,0.14678103,0.17725997,0.514552,0.10413751,0.087040626,transport,0.2931849
184,vesicle-mediated transport,6.57268202558648,GO:0016192,0.26609486,0.30502075,0.3318672,0.110983536,0.22404793,0.2034844,0.17541942,0.12001994,0.29607236,0.33428794,0.82223994,0.24936724,0.1936674,transport,0.487952
185,response to virus,6.56571014737117,GO:0009615,0.040209614,-0.00045564957,0.059294384,-0.027414646,0.119472,0.15549126,0.22873272,0.12508672,0.2149361,0.13870794,0.15326661,0.048483882,0.036942855,immune,0.013796613
186,vasculature development,6.56224524327523,GO:0001944,0.102470964,0.13670725,0.0993179,0.047145,0.13382083,0.113402024,0.19922315,0.06515082,0.12160062,0.11389868,0.17081626,0.41030234,0.38081676,development_structure,0.029485583
187,positive regulation of locomotion,6.53738494788487,GO:0040017,0.21343833,0.20055147,0.2505427,0.13229045,0.23732218,0.14633377,0.2777287,0.36999804,0.21878113,0.4071328,0.30449376,0.3225131,0.37806445,signaling,0.02906835
188,myeloid cell differentiation,6.51985009958889,GO:0030099,0.22471404,0.2015188,0.10517131,0.1752969,0.28718442,0.2528572,0.34031725,0.29836577,0.21344665,0.1891774,0.20148224,0.51599556,0.20369756,development_structure,0.17567831
189,myeloid cell activation involved in immune response,6.48870361046166,GO:0002275,0.20656745,0.16545916,0.12563588,0.2239035,0.36732966,0.50577366,0.7010417,0.24238202,0.17890179,0.32328844,0.16781366,0.31054753,0.10018792,immune,0.19526803
190,granulocyte migration,6.46125075410353,GO:0097530,0.1496242,0.11335011,0.0982306,0.06958009,0.14257568,0.13722517,0.22396298,0.005787649,0.17020181,0.027976986,0.340249,0.20687707,0.13245407,transport,0.116286024
191,developmental process,6.45245559089966,GO:0032502,0.14541739,0.09139508,0.08415355,0.041831918,0.11803199,-0.003352087,0.0637736,0.17641354,0.19727778,0.16697456,0.11021708,0.4699155,0.4816308,neuronal,0.011715293
192,import into cell,6.3758062553426,GO:0098657,0.21388763,0.16336706,0.18519706,0.17641872,0.22659597,0.23117238,0.31693795,0.20998678,0.23515382,0.19812158,0.33835316,0.3056072,0.07759362,transport,0.021415204
193,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,6.34782609243126,GO:0002822,0.1224009,0.13596703,0.010632404,0.08556862,0.20863482,0.32569578,0.537128,0.25933182,0.2373326,0.39121836,0.15830323,0.22956038,0.1258046,immune,0.1459096
194,cell development,6.32560410100653,GO:0048468,0.34402952,0.26059023,0.23511413,0.19565664,0.4887159,0.35397935,0.42430374,0.3102876,0.3569772,0.4043903,0.31167486,0.7937948,0.5132854,development_structure,0.2805094
195,response to lipid,6.29462900055453,GO:0033993,0.28087908,0.6148653,0.21091297,0.1969323,0.1481671,0.1369921,0.28919268,0.1306046,0.09733069,0.23968637,0.24830213,0.1610602,0.11990698,lipid_metabolism,0.32567263
196,pattern recognition receptor signaling pathway,6.24051306376888,GO:0002221,0.20211914,0.18793064,0.09929,0.09958272,0.30401558,0.12295742,0.30801684,0.40081307,0.22122411,0.5753088,0.22903037,0.2919227,0.2967612,signaling,0.17449573
197,granulocyte chemotaxis,6.23065509646967,GO:0071621,0.18777715,0.11475666,0.06719661,0.07012041,0.17131826,0.27226943,0.2973992,-0.0029955246,0.0685094,0.06551698,0.20427644,0.24743754,0.09712788,immune,0.025129765
198,blood vessel morphogenesis,6.22398381140182,GO:0048514,0.10931066,0.18276232,0.12615183,0.10113518,0.16311732,0.08494593,0.12533154,0.15685728,0.14230934,0.20184776,0.25197434,0.3530646,0.2951977,development_structure,0.0578669
199,regulation of apoptotic process,6.12363440292537,GO:0042981,0.35855994,0.29285595,0.23995925,0.27242398,0.5210708,0.27746516,0.20502222,0.36758304,0.26791936,0.36279976,0.23501791,0.30667347,0.18698427,cell_death,0.15348774
200,regulation of mononuclear cell migration,6.00012758139932,GO:0071675,0.32077217,0.27338046,0.26481748,0.23315662,0.40864304,0.36425382,0.41049793,0.35834786,0.34996837,0.36364132,0.46610755,0.44322157,0.2096673,transport,0.022885978
201,positive regulation of chemotaxis,5.96045587937596,GO:0050921,0.33622608,0.28466922,0.2531313,0.26459825,0.35399678,0.3522122,0.49950695,0.31666082,0.15881781,0.3902371,0.2613321,0.34550625,0.21504909,immune,0.10926986
202,regulation of localization,5.95887925381244,GO:0032879,0.03983295,0.039416302,-0.022534218,-0.061481036,0.030186677,-0.016209068,0.08556473,0.24692643,0.19926155,0.16293928,0.1867915,0.18809745,0.16808867,transcription,0.04766488
203,negative regulation of response to stimulus,5.89743816313694,GO:0048585,0.043262243,0.043162078,0.03381782,0.051446483,0.14719939,0.10863334,0.1831801,0.2425942,0.035081178,0.3565999,0.07443671,0.068997175,0.27789053,signaling,0.078709364
204,respiratory burst,5.80584834283104,GO:0045730,0.0066423453,-0.0045776404,0.13414128,0.113691345,0.16183956,0.09095093,0.09698154,-0.013111245,0.09028418,0.12928364,0.12266089,0.00060156314,0.048408903,cell_death,0.027698278
205,regulation of programmed cell death,5.73792361468221,GO:0043067,0.3417266,0.2761383,0.22880433,0.2433269,0.850981,0.60294294,0.41463938,0.44849795,0.2849157,0.4695048,0.16532956,0.43472078,0.27300984,cell_death,0.24803805
206,regulation of lymphocyte activation,5.65979026701774,GO:0051249,0.23248325,0.2494025,0.13957942,0.17161205,0.3361063,0.51222,0.6027917,0.44027567,0.26739728,0.4070168,0.23914799,0.36862737,0.14139864,immune,0.0905717
207,multicellular organism development,5.64749530688381,GO:0007275,0.35841742,0.23287085,0.23710167,0.22849944,0.34590662,0.15805776,0.30142426,0.29478788,0.3200149,0.41841048,0.29196084,0.6652751,0.45022446,development_structure,0.21505064
208,regulation of chemokine production,5.64418845765432,GO:0032642,0.51322186,0.38682926,0.2662313,0.3290786,0.3656331,0.3107471,0.40989256,0.3636677,0.28778332,0.37298858,0.21006377,0.2558626,0.1622912,metabolism,0.1033293
209,chemokine production,5.64418845765432,GO:0032602,0.42557222,0.27498087,0.18092257,0.25175083,0.26121095,0.23372042,0.23284836,0.14107496,0.2470085,0.15180704,0.10408735,0.14067535,0.06829378,metabolism,0.15059134
210,positive regulation of gene expression,5.62602644396823,GO:0010628,0.31207818,0.31240112,0.24808812,0.29547092,0.3560505,0.23878595,0.36636332,0.6767687,0.3257006,0.52298176,0.1969487,0.34805357,0.2953127,transcription,0.15378696
211,lymphocyte proliferation,5.5568969130389,GO:0046651,0.16505507,0.14712213,0.0936704,0.12402107,0.3169709,0.5102064,0.41843638,0.16055079,0.19797702,0.17223637,0.19607514,0.3242927,0.12182881,cell_killing,0.09177002
212,regulation of leukocyte cell-cell adhesion,5.52089036240609,GO:1903037,0.11284478,0.1418942,0.042336576,0.13273573,0.34514046,0.4515515,0.55200696,0.22323518,0.10507128,0.26265627,0.36136878,0.51643634,0.20541808,immune,0.03557062
213,mononuclear cell proliferation,5.42566695244754,GO:0032943,0.23695788,0.17579949,0.17207102,0.22089933,0.4179325,0.3972091,0.29722157,0.24337068,0.22910118,0.24952817,0.17297369,0.41996184,0.16759798,development_structure,0.0020293295
214,localization,5.32656153152183,GO:0051179,-0.05108766,-0.066785574,-0.054572195,-0.13359615,-0.05084185,-0.05895292,0.0036338607,0.003500592,0.19116583,-0.023976117,0.07983229,0.06344065,0.07679232,translation,0.11133354
215,regulation of chemotaxis,5.27741326616384,GO:0050920,0.36210927,0.3004662,0.24153377,0.2556693,0.31624407,0.32365945,0.44569933,0.30408362,0.16541325,0.3362089,0.27503467,0.34802145,0.1850653,immune,0.08359006
216,secretion by cell,5.27307959474857,GO:0032940,0.34748206,0.26205102,0.23449081,0.1740098,0.38041413,0.36071968,0.3579849,0.23296691,0.28818533,0.3910585,0.44329837,0.4893232,0.27256516,development_structure,0.04602483
217,regulation of cell migration,5.24305071294702,GO:0030334,0.38217497,0.33125997,0.32304382,0.24399799,0.47651672,0.36377722,0.49936435,0.37837946,0.35403615,0.45474762,0.57147634,0.5357742,0.3091429,transport,0.03570217
218,response to type II interferon,5.21305876934571,GO:0034341,-0.0806658,-0.08438786,-0.041097786,-0.06741032,0.014861221,0.079947814,0.15471852,0.10774663,0.14994454,0.11743522,0.042705968,-0.065369524,-0.00991134,immune,0.0047739744
219,positive regulation of developmental process,5.16941886218002,GO:0051094,0.18245123,0.14749038,0.16312815,0.12252858,0.23198903,0.08244969,0.222864,0.41142744,0.22490102,0.379467,0.13822974,0.4583816,0.4911863,neuronal,0.032804698
220,positive regulation of cell differentiation,5.16666545060714,GO:0045597,0.30447215,0.32224274,0.22391097,0.24450663,0.43280128,0.34603873,0.49660185,0.525337,0.30007538,0.51294833,0.3316738,0.59955347,0.37258926,development_structure,0.074216485
221,tube morphogenesis,5.15703483284267,GO:0035239,0.19889456,0.16172129,0.13050477,0.0712547,0.17304981,0.07531534,0.12593082,0.21962611,0.35995013,0.2367244,0.27958423,0.34677863,0.30110282,translation,0.013171494
222,positive regulation of interleukin-6 production,5.14710013987267,GO:0032755,0.30775058,0.28359437,0.258508,0.309829,0.3625198,0.38682318,0.5723965,0.33991736,0.26809606,0.33768684,0.1517148,0.23554212,0.17440636,immune,0.18557334
223,positive regulation of metabolic process,5.10790676298255,GO:0009893,0.6360904,0.52956784,0.52998364,0.43590865,0.37734383,0.20446981,0.26924673,0.4502712,0.30814713,0.473383,0.27993748,0.23111872,0.25422874,metabolism,0.10610676
224,positive regulation of acute inflammatory response,5.09826223989608,GO:0002675,0.10609242,0.18147188,0.15425931,0.24488318,0.29325986,0.37320608,0.6337099,0.19705547,0.15180804,0.33571917,0.09417096,0.15125673,0.13679457,immune,0.26050383
225,astrocyte development,5.08579726959423,GO:0014002,0.23103282,0.21062174,0.20033875,0.11578517,0.186709,0.04731334,0.12739521,0.15400323,0.23696831,0.22710618,0.16579643,0.37296802,0.441547,neuronal,0.06857899
226,positive regulation of intracellular signal transduction,5.03285773589896,GO:1902533,0.38269013,0.32596156,0.30693957,0.28407657,0.4295014,0.2755612,0.43480587,0.5101936,0.31124902,0.72103524,0.38227907,0.36217126,0.3843928,signaling,0.21084166
227,regulation of secretion,5.03273848996027,GO:0051046,0.17467779,0.19814944,0.07156694,0.09677579,0.12690732,0.113504834,0.18633017,0.3085351,0.14280817,0.2874996,0.24313271,0.2352809,0.1929991,transcription,0.021035492
228,cellular response to lipid,4.97035701013714,GO:0071396,0.4693347,0.7015252,0.3537221,0.27572924,0.35810262,0.28156328,0.45926753,0.2715801,0.19109938,0.4515252,0.4075332,0.41710556,0.25880247,lipid_metabolism,0.23219052
229,reactive oxygen species metabolic process,4.93773031143824,GO:0072593,0.5344032,0.44783723,0.5169455,0.7860919,0.22818066,0.12693448,0.1722827,0.1773892,0.19308591,0.16287631,0.15984015,0.13156998,0.07802299,redox_metabolism,0.25168872
230,neutrophil chemotaxis,4.9069985693956,GO:0030593,0.13864164,0.13580257,0.11718353,0.18014187,0.17447951,0.31659573,0.37330723,0.025695175,0.081001714,0.07424626,0.20329967,0.20646904,0.10196884,immune,0.056711495
231,lipopolysaccharide-mediated signaling pathway,4.86442236086698,GO:0031663,0.29408923,0.48108488,0.18879855,0.23278432,0.35640216,0.2373794,0.3798371,0.29826453,0.23762093,0.48495322,0.2449892,0.22785488,0.20663156,signaling,0.0038683414
232,regulation of myeloid leukocyte mediated immunity,4.86442236086698,GO:0002886,0.14753482,0.18413627,0.109615475,0.20872742,0.33183926,0.5394628,0.6927659,0.30118912,0.14057034,0.2877915,0.21493888,0.29322723,0.050376024,immune,0.15330309
233,positive regulation of cell adhesion,4.72246451663286,GO:0045785,0.15576409,0.17117381,0.111367166,0.17115831,0.40108323,0.29860622,0.4442618,0.3357218,0.20060188,0.39119,0.3778138,0.59760433,0.33962122,development_structure,0.15334255
234,regulation of cell motility,4.70524789211097,GO:2000145,0.4336756,0.32755643,0.3227213,0.2248609,0.49739164,0.32488552,0.36905277,0.4530404,0.35235047,0.49739748,0.42967469,0.5233253,0.35414755,development_structure,0.025927842
235,T cell mediated immunity,4.66599541698525,GO:0002456,0.09577827,0.060147442,0.08242807,0.10599329,0.3249876,0.5943097,0.5972774,0.17700183,0.2002933,0.29577655,0.20151132,0.28098455,0.04806591,immune,0.0029677153
236,regulation of cell differentiation,4.63629614570117,GO:0045595,0.37404448,0.37831938,0.21043055,0.25019306,0.41362023,0.32465434,0.48451358,0.57443357,0.32635927,0.5049627,0.34664145,0.6801516,0.3832451,development_structure,0.10571802
